SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
52,Servicios financieros y de seguros,524,5242,"Servicios relacionados con los seguros y las fianzas, y administración de fondos para el retiro",4893,64281,173.52%,116.21%,2.92,0.16,4.92,639.21,19808.6
61,Servicios educativos,611,6113,Escuelas de educación superior,4764,254287,79.89%,19.3%,4.45,0.5,3.05,5427.27,33064.05
48-49,"Transportes, correos y almacenamiento",488,4885,Servicios de intermediación para el transporte de carga,4644,200688,188.38%,44.38%,2.77,0.69,4.53,8079.76,52920.91
52,Servicios financieros y de seguros,522,5223,Uniones de crédito e instituciones de ahorro,4551,44793,109.26%,28.96%,3.82,0.72,3.46,1645.54,7890.9
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5616,"Servicios de investigación, protección y seguridad",4341,239373,128.71%,69.35%,3.5,0.27,4.23,2562.79,40122.93
48-49,"Transportes, correos y almacenamiento",484,4841,Autotransporte de carga general,4104,278825,174.35%,16.59%,2.92,2.55,2.53,29065.37,28789.01
31-33,Industrias manufactureras,311,3113,"Elaboración de azúcares, chocolates, dulces y similares",4067,101498,267.59%,49.62%,2.18,0.46,5.37,4602.65,54172.79
43,Comercio al por mayor,436,4361,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",3878,60841,442.07%,91.79%,1.48,0.49,6.03,2307.71,28202.08
52,Servicios financieros y de seguros,523,5231,"Casas de bolsa, casas de cambio y centros cambiarios",3765,5336,238.33%,176.04%,2.36,0.06,5.58,122.14,11790.15
43,Comercio al por mayor,435,4351,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca",3734,24361,707.01%,133.2%,0.99,0.34,6.67,1152.39,22404.88
43,Comercio al por mayor,435,4352,Comercio al por mayor de maquinaria y equipo para la industria,3721,55306,807.26%,66.4%,0.88,0.73,6.39,8809.76,77599.84
